Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,28.72688776622021,32.03772435225233
2.0,34.526190375285815,39.42120345827348
3.0,38.7497899527555,44.77417457287681
4.0,42.083703273188824,48.99751150482147
5.0,44.84988159361256,52.511552130636275
6.0,47.22187554350795,55.53895838051523
7.0,49.30101035390875,58.204884597689514
8.0,51.14843096116968,60.57873278837276
9.0,52.80080739310732,62.69388081894703
10.0,54.27771842228491,64.55601329443333
